fit_time;score_time;test_accuracy;train_accuracy;test_precision_macro;train_precision_macro;test_recall_macro;train_recall_macro;test_f1_macro;train_f1_macro
22.677.827.048.301.600;5.867.025.375.366.210;0,934250765;1;0,936697045;1;0,93546068;1;0,935692016;1
17.748.238.444.328.300;61.811.652.183.532.700;0,940366972;1;0,939708872;1;0,938921426;1;0,939232779;1
17.494.723.224.639.800;5.757.988.929.748.530;0,903522205;1;0,901514352;1;0,903912678;1;0,901716753;1
17.635.842.990.875.200;5.811.989.068.984.980;0,929555896;1;0,929488291;1;0,928263083;1;0,928287766;1
17.760.833.764.076.200;5.470.000.267.028.800;0,940275651;1;0,937810649;1;0,938530334;1;0,938025401;1
17.562.729.907.035.800;5.357.985.258.102.410;0,935779817;1;0,93679989;1;0,936615302;1;0,936343516;1
17.478.750.586.509.700;5.625.978.231.430.050;0,923547401;1;0,92411591;1;0,921305503;1;0,921916978;1
17.636.626.505.851.700;5.747.998.952.865.600;0,869831547;1;0,872366459;1;0,870877065;1;0,870555646;1
17.872.103.571.891.700;5.485.063.791.275.020;0,943338438;1;0,94221891;1;0,942112136;1;0,94194056;1
1.697.291.135.787.960;6.394.992.351.531.980;0,926493109;1;0,925178905;1;0,925518562;1;0,925137639;1
;;;;;;;;;
;;0,92469618;1;0,924589928;1;0,924151677;1;0,923884905;1
