@relation AllCandidas_TRAIN

@attribute TGS826 numeric
@attribute TGS2611 numeric
@attribute TGS2603 numeric
@attribute TGS813 numeric
@attribute TGS822 numeric
@attribute TGS2602 numeric
@attribute TGS823 numeric
@attribute temperatura numeric
@attribute pressao numeric
@attribute umidade numeric
@attribute culture_day {1,2,3}
@attribute class {1,2,3,4,5,6}

@data
87860,7277,6014,45280,3191,28280,7924,53.72,99.91,16.11,2,6
55500,30660,27800,30740,462.9,1837,4861,60.35,53.84,6.59,1,5
80690,7178,12720,37690,2062,13630,7695,63.56,99.95,11.12,1,6
47360,27450,29360,35300,572.9,2252,5514,58.52,55.48,6.14,2,4
20470,51410,18480,32900,293.7,964.4,2795,61.95,100.26,11.44,2,3
102300,7305,6061,64130,3240,23120,7765,56.1,53.96,7.87,1,6
22910,48050,20350,22540,265.3,846.9,2904,61.28,100.15,11.01,2,4
87730,7242,6043,43290,2933,24070,7864,51.48,74.22,14.98,2,6
42950,33420,28990,24240,370.9,1210,4341,60.83,54.31,6.21,1,1
41960,37050,25170,31400,464.7,1728,4385,61.95,99.87,12.17,2,5
80900,7305,7075,48780,2534,18360,7768,63.79,99.87,11.5,1,6
11780,63920,9909,26710,158.1,463,1383,64.41,99.99,11.14,1,2
27580,53990,17630,30160,241.8,769.2,2513,64.41,99.87,11.12,1,1
87670,7024,11800,36530,2237,14750,7691,54.65,54.16,8,2,6
60370,31990,29890,42180,448.7,1660,4969,58.42,53.88,7.2,1,1
37080,34360,27790,19970,390.2,1234,4218,60,55.37,6.4,2,4
26380,51140,19380,27680,267.7,820,2764,63.38,100.03,11.37,1,5
10430,69380,8486,39150,160.9,528.2,1280,64.87,99.99,12.28,1,2
51790,28030,28880,30930,528.5,1925,5110,61.6,72.97,6.22,1,5
12270,60460,14920,38820,206.2,672.8,2116,61.11,72.54,9.21,2,4
44420,29680,29470,26050,462.9,1641,4883,61.35,54.39,6.07,2,1
40270,30250,28630,20430,428.5,1502,4617,61.6,54.31,6.09,2,1
29330,47390,20200,24690,287.2,945.7,2982,63.89,100.03,10.92,1,5
39240,31530,28930,19760,430.4,1462,4617,59.7,55.29,6.29,2,4
34790,44410,22190,41840,392.7,1455,3722,60.94,99.87,12.61,2,5
80640,7207,12890,39220,2066,13380,7693,63.51,99.99,11.06,1,6
12740,57970,10890,19250,166.1,496.7,1516,63.87,100.03,10.84,1,2
87980,3814,12190,35470,2203,14100,7657,49.52,54.66,9.94,2,6
93940,7263,7427,46310,2760,18030,7854,31.03,57.86,40.09,2,6
19540,58630,15340,28970,202.7,569.4,2070,63.16,99.87,12.14,1,1
38630,40740,23560,35520,424.3,1612,4056,61.24,99.95,12.6,2,5
35230,35240,25820,19730,361.3,1330,4068,62.7,54.27,6,1,2
12440,64580,11270,37040,172.5,580.5,1629,59.8,74.42,11.11,1,1
33740,44880,23030,37380,380.6,1349,3727,62.22,99.83,12.6,2,5
78000,7228,12930,40010,2002,12630,7503,63.61,73.87,9.44,1,6
20120,46630,17890,16830,258.9,800.2,2575,61.87,99.87,10.75,2,2
24220,48380,20960,32270,322.3,1062,3188,61.61,100.15,11.23,2,3
28350,47910,20840,24500,286,880.2,2995,63.09,99.99,11.5,1,5
24140,51020,17600,21340,226,682.5,2426,63.14,99.87,12.08,1,1
45680,30570,28980,24240,453.6,1546,4714,61.44,54.55,6.13,1,5
34350,30160,26440,15440,442.6,1546,4378,60.07,55.6,6.05,2,2
26570,45200,21670,27190,339,1140,3353,61.87,99.91,10.81,2,3
37230,28940,28890,18310,439.5,1497,4649,59.29,55.64,5.86,2,4
41740,31520,28030,18320,421.8,1439,4472,62.54,54.35,6.23,2,1
18470,57770,15990,31280,230.7,690.5,2253,63.9,99.95,12.05,2,1
16830,54220,16730,23680,224.2,675.5,2323,61.56,100.03,11.23,2,4
77910,7277,9294,44240,2170,14610,7542,64.31,73.95,9.33,1,6
80170,7277,12560,44030,2141,13610,7648,63.46,99.91,11.35,1,6
20050,54880,17200,27090,242.4,735.7,2434,63.83,100.03,11.92,2,1
29930,43460,23310,32970,367.9,1288,3704,62.38,100.26,10.16,2,3
29430,38060,24180,22420,387.8,1320,3844,61.62,56.34,8.38,2,3
43590,29870,29280,24290,453.6,1605,4821,61.51,54.43,6.1,2,1
31400,47080,22110,40620,362.5,1271,3534,62.2,99.83,12.79,2,5
38530,30790,27290,15620,405.4,1384,4315,62.54,54.35,6.13,2,1
55310,33150,29770,33540,408.4,1438,4701,59.08,53.92,7.19,1,1
89840,7277,6009,49650,3145,27670,7914,48.43,99.99,20.57,2,6
31510,30780,25110,11040,314,996.9,3627,61.44,54.51,5.59,1,2
15550,60280,14620,35980,220.1,726.7,2129,64.27,99.87,10.46,2,1
80170,7235,6639,40830,2551,19340,7808,64.71,99.91,11.24,1,6
21460,53180,17930,25640,250,769.2,2547,63.79,99.91,11.85,2,1
80170,7235,6615,40760,2547,19400,7803,64.74,99.95,11.29,1,6
14830,55810,14790,23530,226.6,674.6,2102,61.97,100.22,11.29,2,2
86770,7024,11800,36120,2239,14770,7685,54.16,54.55,8.1,2,6
67150,15660,23810,34430,941.9,4783,6707,58.51,54.08,6.82,2,5
92510,7305,6014,70150,3287,26450,7717,58.39,100.38,13.77,1,6
48480,23110,28110,23660,636.2,2473,5542,59.64,55.13,6.01,2,3
87010,7052,9220,37190,2256,14810,7689,56.4,54,7.59,2,6
9164,58520,11410,23590,191,612,1668,62.19,72.66,8.81,2,2
32780,29070,25750,12460,420,1415,4146,60.33,55.09,6.08,2,2
28930,49270,20330,41690,336.7,1192,3236,62.2,99.87,12.97,2,5
82340,7305,14870,40870,1748,9961,7231,61.59,54,6.42,1,6
20800,51870,19420,27240,250.6,790.6,2741,61.12,100.22,11.12,2,4
31750,30410,25800,11600,321.7,1037,3753,61.1,54.55,5.44,1,2
50370,21850,28310,27260,668.2,2589,5684,59.25,55.44,5.97,2,3
40890,37350,24980,19020,331.9,1004,3616,60.45,54.94,6.95,1,1
48130,28980,29840,31460,499.3,1874,5191,61.66,54.35,5.88,2,1
97790,7305,6020,65340,3719,28540,7881,58.83,54.23,9.24,1,6
15530,52380,15040,19150,230.7,683,2140,61.86,100.11,11.26,2,2
55610,22880,27670,30480,658.6,2833,5821,59.74,54.04,6.93,2,5
19500,55550,18960,36590,245.9,782.4,2678,60.89,100.11,11.2,2,4
13650,56370,13850,22740,219,641.6,1965,61.95,99.79,11.37,2,2
47820,23150,28190,23870,632.4,2442,5530,59.42,55.17,6.09,2,3
39380,39000,24820,31000,437.7,1590,4197,62.63,99.83,12.18,2,5
29840,60760,16690,51380,216.6,687.4,2328,60.85,100.11,13.06,1,1
86060,7277,6020,47350,3268,28770,7912,58.76,99.91,13.46,2,6
54850,30900,27660,28340,455.5,1811,4814,60.55,53.88,6.48,1,5
80430,7235,13060,40800,2054,13120,7667,63.46,99.99,11.22,1,6
13160,58210,13450,26040,204.4,650.4,1930,64.07,73.21,9.69,2,1
44890,34130,28690,26580,381.8,1270,4373,61.49,54.08,6.26,1,1
41520,37750,24780,32320,456.7,1708,4314,61.62,99.83,12.34,2,5
40620,30160,28700,21140,432.8,1513,4640,61.51,54.31,6.22,2,1
16610,54090,16040,23420,240.6,720.4,2286,61.82,99.95,10.81,2,2
86530,3814,8430,32850,2635,15980,7753,57.03,54.2,7.92,2,6
44440,33600,29240,27810,382.4,1261,4433,60.41,54.35,6.21,1,1
56130,22420,27730,31970,668.9,2872,5866,59.59,54.08,6.84,2,5
87860,7277,6014,46970,3203,28500,7920,53.68,99.91,16.14,2,6
12460,61100,11750,26900,166.7,506.3,1617,63.6,74.07,10.04,1,1
25830,47070,21720,33090,336.1,1125,3345,61.9,99.83,10.78,2,3
11140,60010,13740,31550,191.6,614.2,1930,61.4,72.82,9.03,2,4
59530,18260,24650,23570,813.4,3941,6241,60.95,55.37,5.69,2,3
60400,21720,27680,41690,721.7,3155,6116,62.12,54.39,5.6,2,1
28320,49560,20160,40690,333.7,1183,3203,62.59,99.83,12.92,2,5
20250,51800,18350,32510,285.4,943.3,2757,62.02,99.6,11.61,2,3
77470,8050,17440,33240,1543,7795,7018,61.74,53.92,6.66,1,6
32860,40730,24150,29610,395.7,1381,3908,62.18,99.87,10.34,2,3
26970,44610,21940,25770,340.8,1135,3378,61.85,99.79,11,2,3
23980,48730,20750,35580,322.3,1070,3172,61.95,100.15,10.81,2,3
30570,46570,20810,29330,330.7,1170,3275,65.11,99.87,10.97,2,1
36300,29510,28640,18740,429.2,1453,4566,59.21,55.33,5.96,2,4
48890,28640,29880,33370,509.8,1911,5243,61.53,54.31,6.03,2,1
58900,24110,26090,27940,678.5,3029,5736,59.64,54.08,7.23,2,5
43390,34080,28350,22940,370.9,1225,4279,61.79,54,6.43,1,1
34340,44660,22830,38990,383.6,1384,3737,61.51,99.91,12.64,2,5
15890,49050,12790,13690,185.2,573.7,1790,63.12,99.99,10.82,1,2
28290,46650,21240,23430,297.3,961.1,3123,63.9,99.87,11.62,2,1
81540,7305,6797,49130,2577,18870,7784,63.72,99.83,11.55,1,6
37790,29460,29020,20140,444.4,1522,4695,59.08,55.09,5.98,2,4
34170,29550,26840,17040,450.6,1563,4443,59.33,55.13,6.17,2,2
25660,49540,18190,20920,235.4,728.9,2539,62.85,99.87,12.16,1,1
86830,7249,6020,43660,3211,27990,7929,57.1,99.6,14.06,2,6
70910,26430,27570,46090,645.2,2763,5741,58.13,54.04,7.27,1,1
11370,60590,10230,21770,162.7,469.2,1421,63.24,99.95,10.8,1,2
64810,15890,27260,31000,912.1,3616,6450,61.76,100.11,9,2,3
21140,52840,17760,24670,248.9,765.1,2522,63.83,100.03,11.67,2,1
38870,40700,23250,37010,431,1634,4033,60.98,99.95,12.52,2,5
17990,58000,15580,30520,227.2,682.1,2196,63.96,99.95,12.19,2,1
42220,29980,28770,19700,438.3,1550,4693,62.04,54.47,6.1,2,1
91130,7305,6014,64470,3553,29650,7854,59.64,100.15,13.21,1,6
85710,7235,6026,41650,3006,25290,7875,58.01,73.72,11.39,2,6
32290,35840,25120,22640,416.4,1411,4062,61.42,55.64,7.58,2,3
45680,30410,29050,24370,454.3,1543,4719,61.35,54.55,6.22,1,5
64380,15950,27340,30710,904.7,3584,6433,61.82,100.07,8.96,2,3
48130,23910,27830,22190,615.9,2433,5464,60.06,55.56,6.12,2,3
40760,30300,28770,21960,435.9,1520,4661,61.4,54.43,5.98,2,1
36120,52920,19340,35300,255.3,840,2781,60.95,100.11,12.88,1,1
78050,7228,13230,39700,1980,12310,7513,63.53,73.79,9.37,1,6
44780,34260,28250,22820,376.9,1269,4313,62.07,54.04,6.49,1,1
90670,7052,14750,38100,1921,11120,7573,36.66,56.19,18.65,2,6
14340,57560,14820,26220,211.4,623.7,2059,61.76,100.34,11.49,2,4
81380,7221,14520,39150,1946,10470,7311,62.03,54.04,6.52,1,6
12750,59220,13630,40580,180,728.9,2019,64.62,73.17,9,2,1
19690,54890,16960,26660,240.1,732.5,2400,63.89,99.99,11.93,2,1
34310,30590,26290,15150,435.3,1507,4315,60.22,55.21,6.11,2,2
16860,50520,17840,30080,280.1,962,2720,61.97,72.23,8.87,2,3
8101,62530,8017,21380,143.1,437.5,1156,64.31,71.8,8.71,1,2
31050,47760,21430,43450,354.6,1261,3438,61.53,99.83,12.94,2,5
34760,28690,27050,17040,462.9,1593,4501,59.29,55.13,6.11,2,2
44010,33860,28660,24970,378.1,1246,4341,61.51,54.04,6.17,1,1
41890,37640,24340,33140,461.6,1783,4327,61.29,99.87,12.51,2,5
46480,29550,29310,27880,490,1669,4896,60.54,54.7,6.19,1,5
70370,10620,17970,29130,1353,7266,6893,64.57,73.6,9.09,1,6
45620,29430,29660,27920,475.2,1694,4974,61.37,54.31,6.11,2,1
88100,7263,6020,44370,3159,27760,7928,52.75,99.99,16.5,2,6
16810,55780,16900,27420,223.7,682.1,2347,61.53,100.34,10.88,2,4
44220,30460,28920,21550,450.6,1621,4788,62.28,54.39,6.21,2,1
20880,53200,17610,24940,247.1,756.9,2500,63.83,99.99,11.82,2,1
94070,7305,6020,72650,3196,24560,7572,56.55,100.34,15.23,1,6
87550,7024,11620,36440,2245,14820,7691,54.66,54.62,7.86,2,6
12890,61430,11480,28360,158.1,517.6,1597,64.17,73.87,9.73,1,1
44850,29930,29470,26070,463.5,1659,4907,61.57,54.31,6.06,2,1
38770,28690,29240,21450,455.5,1571,4777,58.94,55.76,5.84,2,4
12280,57260,10920,18530,169,496.3,1518,62.99,100.07,10.92,1,2
28220,44610,21810,22570,292,931.8,3161,63.4,57.2,8.9,1,5
95400,7305,6003,72220,3281,25590,7579,55.67,100.15,15.79,1,6
36420,30120,28260,16120,416.4,1403,4466,59.87,55.17,6.03,2,4
37180,29260,28970,19500,436.5,1487,4645,59.08,54.94,6.16,2,4
54990,23430,27640,28860,646.4,2774,5761,60.17,54.04,6.63,2,5
21100,49350,17690,37820,275.4,1118,2842,61.43,73.4,10.44,2,5
101800,7305,6072,65340,3136,22320,7753,56.44,54.08,7.91,1,6
16270,56220,16490,27090,221.9,668.8,2289,61.51,99.87,11.17,2,4
79660,7305,7835,50450,2380,16860,7637,63.9,99.79,12.04,1,6
30070,48300,21370,41720,350.4,1220,3390,62.36,99.87,12.92,2,5
48180,33300,27370,25970,410.3,1496,4446,60.7,53.88,6.7,1,5
17090,54540,16960,24880,226,679.9,2355,61.47,99.83,11.09,2,4
36100,35930,25010,18050,357.7,1125,3750,63.04,54.39,6.58,2,1
15370,64660,12190,36860,180.6,526.1,1683,62.66,99.91,12.72,1,1
86300,7263,6020,43620,3223,27790,7929,58,100.07,13.36,2,6
32800,34760,24850,20100,407.8,1366,3983,61.39,55.33,6.99,2,3
42080,33490,26880,18190,392.7,1232,4099,62.38,54.55,6.23,1,5
26430,45190,21720,26330,336.7,1121,3339,61.87,100.3,10.86,2,3
46780,29750,29350,28760,488.7,1677,4908,60.61,54.66,6.01,1,5
46020,29900,29200,26730,480.7,1639,4847,60.71,54.7,6.16,1,5
44330,29720,29410,25720,461,1634,4878,61.37,54.43,6.21,2,1
48030,28840,29900,31670,499.3,1850,5175,61.52,54.43,5.86,2,1
56860,18330,26730,27540,784.4,3380,6152,59.9,55.13,5.61,2,3
34450,30840,27230,14850,336.1,1111,4012,61.25,54.47,5.36,1,2
21060,51900,19610,27990,253.6,803.5,2775,61.06,100.15,11.05,2,4
13140,55580,11280,17350,170.2,506.7,1567,63.23,100.07,10.87,1,2
15170,49530,17200,27310,258.9,903.3,2589,61.94,72.31,8.71,2,3
87250,7038,9388,36650,2248,14790,7682,55.6,54.2,7.81,2,6
34060,32550,26880,16500,328.9,1113,3972,61.43,54.39,5.43,1,2
26970,46030,22240,33880,344.4,1179,3457,62.1,99.95,10.85,2,3
36490,33720,27450,21420,347.4,1200,4137,61.68,54.43,5.3,1,2
87070,7038,9040,36530,2316,15060,7697,56.86,54.2,7.5,2,6
21630,62940,13690,47300,187.6,658.3,1964,61.1,74.07,10.48,1,1
46820,23390,28090,23960,624.1,2405,5474,59.35,55.09,6.05,2,3
25950,47030,20150,20940,280.1,888.6,2921,63.87,99.99,11.57,2,1
14620,51510,12090,14780,178.9,542.1,1687,63.09,100.03,10.72,1,2
25430,58150,16700,37690,240.1,697.6,2337,62.95,99.99,12.72,1,5
37590,28940,29010,19310,443.8,1511,4680,59.15,55.76,6.02,2,4
9439,62240,8473,21220,150.6,444.5,1211,64.2,100.07,10.75,1,2
16130,51680,12580,15610,182.9,575.8,1769,64.18,100.07,10.93,1,2
46940,27780,29290,33320,566.6,2226,5481,58.65,55.41,6.16,2,4
31240,46900,22220,38560,363.1,1267,3543,62.89,99.83,12.45,2,5
25860,51860,19160,28440,264.2,804.8,2724,63.38,100.11,11.46,1,5
54140,19730,27760,28950,733.4,2964,5955,59.3,55.17,5.94,2,3
32120,30590,26530,13110,330.7,1068,3877,60.62,54.51,5.58,1,2
29760,58340,17670,41990,224.2,680.8,2436,61.31,100.11,12.67,1,1
84330,7193,6856,40220,2498,18970,7818,51.42,74.26,15.01,2,6
46680,30400,29210,27650,465.3,1590,4794,61.15,54.55,6.02,1,5
35920,35750,25460,22440,385.4,1500,4200,62.6,54.23,6.03,1,2
40830,32850,25890,24290,477.6,1918,4674,62.72,54.27,6.23,1,2
79100,7305,7926,49500,2352,16700,7655,64.35,99.87,11.69,1,6
12220,64080,11300,35470,156.3,519.3,1579,62.18,73.95,10.36,1,1
14120,57120,14280,25060,224.8,659.6,2030,61.98,100.42,10.97,2,2
31990,31450,24930,11350,309.2,987.7,3595,61.99,54.47,5.48,1,2
91450,7263,6009,45680,3045,25930,7922,37.05,100.15,37.28,2,6
15780,57890,16170,31740,219,675.5,2257,61.66,99.79,11.18,2,4
34120,28810,26830,16010,453,1558,4436,59.38,55.25,6.09,2,2
