@relation AllCandidas_TRAIN_PCA

@attribute PCA0 numeric
@attribute PCA1 numeric
@attribute PCA2 numeric
@attribute class numeric

@data
0.17813360220364569,0.5741895875012102,0.589491682210523,5
0.08434962119284575,0.5652338540994774,0.3889034875597216,5
0.1362180040961766,0.2870089181828215,0.20237692049231074,2
0.40791998867917345,0.11580910073967193,0.4800881112661229,3
0.03612879645297501,0.40646699676295067,0.03624261207235657,2
0.12228266378538719,0.38003623981740225,0.2919241800577853,2
0.46112708369950045,0.17954479101885823,0.5602543328747036,5
0.19384438221675318,0.48817580509496405,0.5410468487172394,1
0.2696173056994125,0.4736075832960387,0.6727373122327749,5
0.44675577902862984,0.11160219891700845,0.5476228982096225,4
0.908940630555875,0.8542069747781816,0.5778179375249053,6
0.7817690573323608,0.5820882882211347,0.1129036468676965,6
0.6944996668147706,0.36701595542255366,0.5476098585053794,5
0.09834770408138602,0.3326687862598962,0.07138501005798303,2
0.7826527012745642,0.5455865232833357,0.13204614670103154,6
0.42737852898939904,0.0855073857018454,0.49437615246900285,2
0.25509307670107095,0.21574095224361392,0.34053349425706436,5
0.06676605766699512,0.5140807380852845,0.2938688470465565,1
0.08264817462321955,0.4602745723484158,0.19039994819404965,2
0.4117876325134667,0.191673897047001,0.5140782445525093,5
0.07403534529979205,0.4441991166494549,0.23024292152761075,2
0.7691440393330634,0.36036260315400853,0.14661226002797817,6
0.3755105930957482,0.17588630199658858,0.5724685308087756,5
0.09417093446354588,0.5495418402282628,0.44665279730819485,4
0.11465902655642032,0.3148893838932923,0.17472944415072,2
0.43046311638538726,0.24612220924195094,0.6673483164376072,2
0.7659291715398927,0.34053387610885405,0.09688759013420056,6
0.7617089751775572,0.3621536869068794,0.2657849779184337,6
0.500978420008281,0.3984519006491918,0.8539395491608217,4
0.6529669181031607,0.23868417857407342,0.41041690959429866,6
0.4150563723252983,0.11447915331086395,0.4898752821438985,3
0.2597889486137543,0.3144089505251761,0.5120499743130589,3
0.3478443254823679,0.1875348455713658,0.537605108811173,1
0.2372455618028349,0.4230587174112525,0.4601897459064724,5
0.376011798562107,0.1595389382083295,0.5357876732773056,1
0.3216866499592512,0.10247055799782329,0.4607776739313933,4
0.8893672581842057,0.7882820968963784,0.47182557835016525,6
0.08404798114227852,0.35401853293147184,0.06528825519481246,2
0.2594194834280413,0.16810248738380032,0.34941361363154433,4
0.38656135299137084,0.2665114125229286,0.7231162747539828,4
0.1518576782501951,0.36960656223128646,0.34727201186918866,2
0.2971682505267373,0.11697181079399455,0.36485445178024506,2
0.7056277437066354,0.3651048513710377,0.3709324684231533,6
0.2419230689949002,0.28883228755635126,0.4516111791734073,3
0.1931310712848492,0.40353319582733777,0.38788506557230523,1
0.1436736353224172,0.6849829646307838,0.6118995577243512,1
0.6598339419695352,0.4678246716986113,0.8471162063894083,4
0.22727378151465427,0.46338640540332265,0.5069987165293356,1
0.7808740035121802,0.5828392807845847,0.11277738579336583,6
0.3332747392335273,0.1439612860766607,0.4361388509711823,2
0.12149658692346843,0.6402607008316306,0.6384423493943564,4
0.3508465275389455,0.17435152937667697,0.5877708476200024,4
0.10967617556248208,0.44539646385955767,0.356012439707803,3
0.38031599101644126,0.2010155052798989,0.6053183679983987,5
0.07918115455573588,0.43356606188952007,0.2341851303719103,2
0.8100276763600875,0.6442634727612357,0.26599617147874477,6
0.47667491144582247,0.21916258662081967,0.628679890856186,5
0.4956770470857749,0.24605287430444983,0.6576843770201934,5
0.7940856691596465,0.5658697323977918,0.11571524062705602,6
0.32859936447993826,0.12407549873324733,0.5022861046003217,4
0.18560167486347712,0.5008346321198127,0.5930264000425813,3
0.3040669712859713,0.3356001594456619,0.5718572536963022,5
0.2969631015780644,0.29483046744569125,0.5261107116037967,3
0.7885699769588563,0.5615093904188063,0.10720282278234589,6
