loss,accuracy,lr
1.279139638,0.557436883,0.5
0.862851143,0.62300992,0.5
0.652269959,0.7252177,0.5
0.490890205,0.811197102,0.5
0.394626647,0.853087366,0.5
0.349805832,0.873075902,0.5
0.306604534,0.892294824,0.5
0.267888397,0.908237338,0.5
0.239362538,0.91769284,0.5
0.222745836,0.926268816,0.5
0.194508076,0.9357903,0.5
0.176251978,0.941947401,0.5
0.16677317,0.945443749,0.5
0.154273719,0.94852227,0.5
0.147749469,0.951358974,0.5
0.132486954,0.957516074,0.5
0.125236571,0.960000873,0.5
0.121432871,0.960528612,0.5
0.111543179,0.96263963,0.5
0.103900574,0.965476274,0.5
0.100117199,0.96699357,0.5
0.092885315,0.968950629,0.5
0.089887924,0.970731795,0.5
0.088269278,0.970885754,0.5
0.08069618,0.9730407,0.5
0.079515621,0.973766387,0.5
0.077792853,0.973722398,0.5
0.075823955,0.97484386,0.5
0.070871063,0.977218747,0.5
0.068918519,0.977064848,0.5
0.06345471,0.978186309,0.5
0.062283728,0.979131877,0.5
0.060110997,0.979615629,0.5
0.05793424,0.980583191,0.5
0.055389799,0.981572688,0.5
0.054621503,0.981550694,0.5
0.054550081,0.982056499,0.5
0.053833004,0.981946528,0.5
0.048852906,0.982958019,0.5
0.051621761,0.982364297,0.5
0.046207894,0.984035552,0.5
0.044771235,0.985069036,0.5
0.043226331,0.985508859,0.5
0.041349959,0.986102581,0.5
0.042553,0.985332906,0.5
0.042973943,0.985838711,0.5
0.037762467,0.986718297,0.5
0.040231131,0.985860646,0.5
0.037717234,0.987268031,0.5
0.037898615,0.987070084,0.5
0.036342926,0.987905681,0.5
0.03777606,0.987202048,0.5
0.032938641,0.988763332,0.5
0.035089463,0.987971663,0.5
0.032388244,0.988983214,0.5
0.033958808,0.988213539,0.5
0.032640412,0.988675356,0.5
0.031731501,0.989137113,0.5
0.02869948,0.990148664,0.5
0.029737325,0.989466965,0.5
0.029672621,0.989642918,0.5
0.02824359,0.990346551,0.5
0.031598698,0.988125622,0.5
0.028376881,0.990082681,0.5
0.026472172,0.990632415,0.5
0.026440799,0.990962267,0.5
0.027293693,0.990456522,0.5
0.026219152,0.990720391,0.5
0.023668455,0.991577983,0.5
0.027445855,0.990082681,0.5
0.024017388,0.991797864,0.5
0.024305664,0.991885841,0.5
0.024602272,0.991577983,0.5
0.023252903,0.991885841,0.5
0.022092167,0.992083728,0.5
0.0238312,0.991797864,0.5
0.020114731,0.993007302,0.5
0.021431027,0.992853343,0.5
0.021422528,0.992875338,0.5
0.021417201,0.992215693,0.5
