6,68840.0,12090.0,21840.0,26630.0,1088.0,5000.0,6457.0,62.42,53.88,6.34,1
5,29950.0,48900.0,20600.0,43130.0,340.8,1219.0,3294.0,61.74,99.83,13.33,2
1,42550.0,33330.0,28870.0,22940.0,367.9,1199.0,4315.0,60.95,54.31,6.29,1
1,72130.0,25890.0,27340.0,49920.0,658.6,2855.0,5784.0,57.98,54.04,7.24,1
5,32370.0,46020.0,22570.0,38300.0,370.3,1302.0,3623.0,62.44,99.83,12.44,2
2,37930.0,29800.0,28320.0,16660.0,362.5,1272.0,4327.0,61.28,54.43,5.19,1
2,34880.0,29400.0,26960.0,16660.0,457.3,1587.0,4486.0,59.63,55.21,5.94,2
1,24200.0,49800.0,19250.0,23140.0,265.9,832.1,2764.0,63.82,99.95,11.54,2
6,86180.0,7277.0,6020.0,44970.0,3274.0,28380.0,7929.0,58.78,99.79,13.12,2
1,35700.0,48340.0,20450.0,26540.0,270.1,862.3,2932.0,61.89,100.11,12.45,1
4,40720.0,30070.0,29420.0,21650.0,458.6,1625.0,4864.0,59.42,55.33,6.13,2
2,38350.0,29570.0,27180.0,23510.0,511.1,1871.0,4808.0,59.41,55.6,5.92,2
2,16550.0,57240.0,16120.0,33620.0,245.9,786.0,2355.0,62.26,99.68,10.59,2
5,23850.0,54260.0,18460.0,29890.0,249.4,716.4,2558.0,63.47,99.95,11.34,1
5,38180.0,41290.0,21200.0,22180.0,311.6,1059.0,3212.0,62.14,53.88,7.32,1
1,48850.0,28720.0,29740.0,31740.0,511.7,1933.0,5239.0,61.83,54.39,6.02,2
1,52620.0,32980.0,29550.0,28360.0,395.1,1368.0,4591.0,59.66,54.0,7.05,1
5,50600.0,32950.0,27700.0,30870.0,424.9,1584.0,4583.0,60.25,53.92,6.79,1
1,22680.0,57670.0,16060.0,29950.0,213.7,616.8,2192.0,63.87,99.83,11.59,1
1,37990.0,54030.0,18650.0,43130.0,268.9,949.1,2799.0,60.54,100.11,12.82,1
4,41340.0,29350.0,29880.0,27630.0,477.0,1690.0,4999.0,58.55,55.41,6.04,2
6,80430.0,3814.0,13100.0,33470.0,2240.0,12550.0,7537.0,63.64,54.04,6.28,1
6,89340.0,7277.0,6270.0,49920.0,2793.0,21390.0,7829.0,40.73,100.07,31.32,2
5,22940.0,56420.0,17600.0,33950.0,243.0,705.7,2449.0,64.01,99.99,11.33,1
4,20830.0,49240.0,19080.0,21230.0,250.0,787.4,2695.0,61.57,100.15,10.89,2
3,26250.0,46070.0,21840.0,28760.0,334.9,1104.0,3336.0,61.78,99.76,10.81,2
5,29660.0,41660.0,22420.0,20700.0,308.0,971.2,3276.0,62.67,54.98,7.61,1
2,42080.0,33170.0,26350.0,36830.0,499.9,1982.0,4796.0,62.04,54.16,6.07,1
5,22110.0,50530.0,18550.0,35130.0,303.2,1111.0,2940.0,63.31,73.33,10.15,2
1,15330.0,56550.0,14700.0,37600.0,213.7,796.6,2200.0,65.7,73.56,8.81,2
5,53940.0,23610.0,27860.0,27430.0,633.1,2669.0,5692.0,60.98,54.04,6.56,2
1,39950.0,30080.0,28460.0,19440.0,426.1,1489.0,4583.0,61.73,54.47,6.23,2
5,46420.0,29760.0,29270.0,27860.0,485.7,1660.0,4880.0,60.61,54.7,6.08,1
2,19970.0,49430.0,17950.0,20670.0,258.9,824.7,2602.0,62.04,100.34,10.81,2
2,21680.0,37510.0,16250.0,10350.0,221.9,654.3,2249.0,62.74,54.43,6.06,1
5,20240.0,60920.0,13400.0,37320.0,205.0,707.9,1975.0,62.85,74.07,9.81,1
1,49420.0,33190.0,29030.0,30970.0,424.3,1497.0,4669.0,61.83,54.04,6.16,1
5,46780.0,30030.0,29320.0,27560.0,467.8,1594.0,4812.0,60.95,54.43,6.03,1
5,57480.0,21820.0,26800.0,32610.0,696.5,3154.0,5968.0,59.0,54.08,7.02,2
3,69040.0,12410.0,25630.0,30120.0,1054.0,4418.0,6794.0,61.91,99.72,8.81,2
3,34700.0,38520.0,24330.0,29590.0,423.7,1578.0,4126.0,63.12,99.99,9.84,2
6,78100.0,9374.0,17400.0,37010.0,1410.0,7719.0,6975.0,61.16,53.84,6.57,1
6,91650.0,7277.0,6026.0,46640.0,2990.0,24770.0,7912.0,36.81,100.07,37.7,2
2,36890.0,36300.0,25860.0,29630.0,396.9,1543.0,4293.0,62.14,54.27,5.97,1
5,28510.0,48560.0,20100.0,25580.0,280.7,895.7,2920.0,63.64,99.99,11.09,1
6,82180.0,7305.0,15210.0,38920.0,1712.0,9656.0,7215.0,61.83,54.04,6.28,1
2,16020.0,52330.0,15410.0,19560.0,233.0,691.9,2189.0,61.83,100.11,10.97,2
2,19540.0,46750.0,17520.0,16390.0,252.4,788.3,2516.0,61.91,99.72,10.85,2
4,10080.0,58150.0,12570.0,23870.0,184.7,576.2,1770.0,61.74,72.93,9.01,2
3,51050.0,20680.0,27770.0,25890.0,697.2,2763.0,5767.0,59.27,55.48,5.87,2
5,56690.0,23570.0,28570.0,31000.0,626.7,2413.0,5561.0,61.79,54.39,5.68,1
5,40030.0,34340.0,25580.0,26950.0,467.8,1708.0,4423.0,62.19,54.39,8.05,2
3,15230.0,51140.0,16830.0,27990.0,260.6,905.7,2545.0,62.14,72.66,8.64,2
4,15610.0,55730.0,15910.0,24720.0,219.0,652.1,2209.0,61.66,100.3,11.13,2
4,15900.0,56330.0,16210.0,26750.0,220.1,663.1,2254.0,61.55,100.42,11.2,2
1,36030.0,49420.0,20290.0,28420.0,267.1,853.5,2901.0,61.61,100.15,12.68,1
5,51570.0,27640.0,29130.0,31060.0,531.0,1927.0,5144.0,61.51,54.43,5.83,1
6,104500.0,7305.0,6026.0,65790.0,3355.0,25270.0,7770.0,54.42,54.43,8.3,1
5,37010.0,41430.0,24110.0,33090.0,410.9,1474.0,3991.0,62.5,99.87,12.17,2
2,12230.0,59490.0,10660.0,20870.0,165.0,486.7,1482.0,63.74,100.03,10.74,1
4,44180.0,28720.0,30010.0,32920.0,514.8,1908.0,5256.0,58.47,55.52,6.21,2
5,55800.0,22680.0,27230.0,32150.0,670.8,2954.0,5860.0,59.18,54.08,7.04,2
